category,href,num_jobs,date
Generaldirektoren,/projekte/Management-Unternehmen-Strategie-Projekte/Generaldirektoren-Projekte,15,2025-03-18
Manager Betriebsverwaltung und -politik,/projekte/Management-Unternehmen-Strategie-Projekte/Manager-Betriebsverwaltung-Und-politik-Projekte,11,2025-03-18
"Gesetzgeber, Volksvertreter",/projekte/Management-Unternehmen-Strategie-Projekte/Gesetzgeber-Volksvertreter-Projekte,10,2025-03-18
Behördenmitarbeiter,/projekte/Management-Unternehmen-Strategie-Projekte/Beh%C3%B6rdenmitarbeiter-Projekte,9,2025-03-18
Sekretärinnen,/projekte/Management-Unternehmen-Strategie-Projekte/Sonstige-Berufe-Projekte,7,2025-03-18
Weniger,,0,2025-03-18
Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte,367,2025-03-18
Rechnungswesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Rechnungswesen-Projekte,146,2025-03-18
Wirtschaftsprüfer / Buchhalter / Steuerberater,/projekte/Finanzen-Versicherung-Recht-Projekte/Wirtschaftspr%C3%BCfer-Buchhalter-Steuerberater-Projekte,73,2025-03-18
Manager Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Manager-Versicherungen-Und-Finanzen-Projekte,70,2025-03-18
Finanzwesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzwesen-Projekte,45,2025-03-18
Mitarbeiter Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Sonstige-Berufe-Projekte,39,2025-03-18
Finanzexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzexperten-Projekte,23,2025-03-18
Rechtswesen,/projekte/Finanzen-Versicherung-Recht-Projekte/Rechtswesen-Projekte,20,2025-03-18
Mitarbeiter Bankfiliale,/projekte/Finanzen-Versicherung-Recht-Projekte/Mitarbeiter-Bankfiliale-Projekte,16,2025-03-18
Ökonomen / Wirtschaftsexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Sonstige-Berufe-Projekte,15,2025-03-18
Berater Versicherungen und Finanzen,/projekte/Finanzen-Versicherung-Recht-Projekte/Berater-Versicherungen-Und-Finanzen-Projekte,4,2025-03-18
Versicherungen,/projekte/Finanzen-Versicherung-Recht-Projekte/Versicherungen-Projekte,3,2025-03-18
Versicherungsexperten,/projekte/Finanzen-Versicherung-Recht-Projekte/Versicherungsexperten-Projekte,2,2025-03-18
Finanzdirektoren,/projekte/Finanzen-Versicherung-Recht-Projekte/Finanzdirektoren-Projekte,1,2025-03-18
Weniger,,0,2025-03-18
Administration und Kundenbetreuung,/projekte/Administration-Und-Kundenbetreuung-Projekte,347,2025-03-18
Leiter Administration und Kundenservice,/projekte/Administration-Und-Kundenbetreuung-Projekte/Leiter-Administration-Und-Kundenservice-Projekte,112,2025-03-18
Mitarbeiter Finanzen und Verwaltung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Mitarbeiter-Finanzen-Und-Verwaltung-Projekte,97,2025-03-18
Planer / Koordinatoren,/projekte/Administration-Und-Kundenbetreuung-Projekte/Planer-/-Koordinatoren-Projekte,84,2025-03-18
Mitarbeiter Verwaltung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Mitarbeiter-Verwaltung-Projekte,78,2025-03-18
Administration und Kundenbetreuung,/projekte/Administration-Und-Kundenbetreuung-Projekte/Administration-Und-Kundenbetreuung-sonstige-Projekte,34,2025-03-18
Zeitplanersteller und Diensteinteiler,/projekte/Administration-Und-Kundenbetreuung-Projekte/Zeitplanersteller-Und-Diensteinteiler-Projekte,8,2025-03-18
Rezeptionisten,/projekte/Administration-Und-Kundenbetreuung-Projekte/Rezeptionisten-Projekte,1,2025-03-18
Telefonisten und Ansager,/projekte/Administration-Und-Kundenbetreuung-Projekte/Telefonisten-Und-Ansager-Projekte,1,2025-03-18
"Recht, Personalwirtschaft und Sozialwesen",/projekte/Sprachen-Dienstleistung-Soziales-Projekte,344,2025-03-18
Juristen,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Sonstige-Berufe-Projekte,229,2025-03-18
Training / Schulung / Coaching,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Training-Schulung-Coaching-Projekte,50,2025-03-18
Personal- und Arbeitsmarktexperten,/projekte/Sprachen-Dienstleistung-Soziales-Projekte/Personal-Und-Arbeitsmarktexperten-Projekte,34,2025-03-18
