category,href,num_freelancers,date
Moderatoren,/Freelancer/K/Design-Kunst-Medien-Freelancer/Moderatoren-Freelancer,48,2025-03-18
Illustratoren und Designer,/Freelancer/K/Design-Kunst-Medien-Freelancer/Illustratoren-Und-Designer-2d-Freelancer,43,2025-03-18
Illustratoren und Designer,/Freelancer/K/Design-Kunst-Medien-Freelancer/Illustratoren-Und-Designer-3d-Freelancer,42,2025-03-18
Regisseure und Produzenten,/Freelancer/K/Design-Kunst-Medien-Freelancer/Regisseure-Und-Produzenten-Freelancer,37,2025-03-18
Übersetzer und Dolmetscher,/Freelancer/K/Design-Kunst-Medien-Freelancer/Sonstige-Berufe-Freelancer,31,2025-03-18
"Film-, Theater-, TV- und Studiotechniker",/Freelancer/K/Design-Kunst-Medien-Freelancer/Film-Theater-Tv-Und-Studiotechniker-Freelancer,10,2025-03-18
Bibliothekare und Dokumentare,/Freelancer/K/Design-Kunst-Medien-Freelancer/Bibliothekare-Und-Dokumentare-Freelancer,6,2025-03-18
"Musiker, Sänger und Tänzer",/Freelancer/K/Design-Kunst-Medien-Freelancer/Musiker-S%C3%A4nger-Und-T%C3%A4nzer-Freelancer,5,2025-03-18
Museumsmitarbeiter,/Freelancer/K/Design-Kunst-Medien-Freelancer/Museumsmitarbeiter-Freelancer,1,2025-03-18
"Dirigenten, Komponisten und Choreografen",/Freelancer/K/Design-Kunst-Medien-Freelancer/Dirigenten-Komponisten-Und-Choreografen-Freelancer,1,2025-03-18
Weniger,,Weniger,2025-03-18
Ingenieurwesen,/Freelancer/K/Technik-Ingenieurwesen-Freelancer,24333,2025-03-18
Management,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Projektleitung-Projektmanagement-PMO-Freelancer,6129,2025-03-18
Technisches Zeichnen / CAD / CAE,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Technisches-Zeichnen-CAD-CAE-Freelancer,4547,2025-03-18
Maschinen- / Anlagenbau,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Maschinenbau-Anlagenbau-Freelancer,3310,2025-03-18
Installateure und Klempner,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/weitere-technische-Freelancer,3230,2025-03-18
Produktionstechnik,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Produktionstechnik-Freelancer,2422,2025-03-18
Qualitätsmanagement / Testing,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Qualitaetsmanagement-Freelancer,2195,2025-03-18
Techniker Installation und Wartung elektrischer Geräte,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Elektrotechnik-Elektronik-Freelancer,2184,2025-03-18
Mess- / Regelungstechnik,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Messtechnik-Regelungstechnik-Freelancer,2114,2025-03-18
Automatisierungstechnik,/Freelancer/K/Technik-Ingenieurwesen-Freelancer/Automatisierungstechnik-Freelancer,2079,2025-03-18
